Id,Wohngebiet,Nachbarschaft,Bedingung1,Bedingung2,Wohnungsklasse,Gebauedetyp,Wohnungsstil,Baujahr,Umbaujahr,Hausqualitaet,Hauszustand,Versorgung,Grundstuecksgroesse,Grundstuecksform,Gelaendekontur,Gelaendeneigung,Grundstueckanordnung,Strassenlaenge,Strassentyp,Fundament,Mauerwerktyp,Mauerwerkflaeche,Verkleidung1,Verkleidung2,Dachtyp,Dachmeterial,Aussenmaterialqualitaet,Aussenmaterialzustand,Kellerhoehe,Kellerzustand,Kellerbelichtung,Kellerbereich1,Kellerbereichgroesse1,Kellerbereich2,Kellerbereichgroesse2,KellerbereichgroesseNAu,KellerbereichgroesseGes,KellerVollbadezimmer,KellerHalbbadezimmer,OberirdischeWohnflaeche,1Stockflaeche,2Stockflaeche,GeringequalitaetFlaeche,OberirdischeRaueme,Funktionalitaet,OberirdischeVollbadezimmer,OberirdischeHalbbadezimmer,Schlafzimmer,Kuechen,KuechenQualitaet,Kamine,Kaminqualitaet,Heizung,Heizungsqualitaet,Klimalanlage,Elektrik,Holzdeckflaeche,OffeneVerandaflaeche,GeschlosseneVerandaflaeche,3JahreszeitenVerandaflaeche,AbgeschirmteVerandaflaeche,Poolflaeche,Poolqualitaet,Zaunqualitaet,Garagentyp,Garagenbaujahr,Garageninnenausbau,Garagenautos,Garagenflaeche,Garagenqualitaet,Garagenzustand,EinfahrtGepflastert,Sondermerkmal,SondermerkmalWert,Verkaufsmonat,Verkaufsjahr,Verkaufstyp,Verkaufsbedingung,Verkaufspreis
1,WN,Gallus,Norm,Norm,20,1Fam,1Sto,1962,1962,3,3,EGWA,918.54,Reg,Ebn,San,Eck,22.2,Pfla,Platten,Kein,0.0,ZiegAlg,ZiegAlg,Flach,KiesTeer,Du,Du,KeinKeller,KeinKeller,KeinKeller,KeinKeller,0.0,KeinKeller,0.0,0.0,0.0,0.0,0.0,84.96,84.96,0.0,0.0,4,Ger1,1,0,2,1,Ar,0,KeineKamine,GasWD,Ar,N,SichAr,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,1966.0,NAu,2.0,47.52,Du,Ar,J,Keine,0.0,7,2019,GarK,Normal,69700.0
2,WN,Gallus,Norm,Norm,20,1Fam,1Sto,2015,2016,5,5,EGWA,632.16,Reg,Ebn,San,Inn,18.0,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Du,Du,Ag,Gu,Ke,DWR,88.2,NAu,0.0,9.9,98.1,1.0,0.0,98.1,98.1,0.0,0.0,5,Typ,1,1,2,1,Du,0,KeineKamine,GasWO,Gu,J,SLSRo,0.0,4.41,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2015.0,Aus,2.0,40.5,Du,Du,J,Keine,0.0,6,2017,GarK,Normal,133450.0
3,WN,Eckenhe,Norm,Norm,50,1Fam,2Sto,1930,1960,6,5,EGWA,1960.2,Reg,Ebn,San,Inn,19.8,Pfla,BetonGeg,Kein,0.0,Holz,HolzSch,Giebel,VerbSch,Du,Du,Ty,Ar,Ke,NAu,0.0,NAu,0.0,73.53,73.53,0.0,0.0,139.5,84.6,54.9,0.0,7,Ger2,1,1,3,1,Du,1,Du,GasWO,Gu,J,SichAr,0.0,0.0,38.61,0.0,0.0,0.0,KeinPool,MnPrv,Abgetr,1947.0,NAu,1.0,28.62,Du,Du,P,Keine,0.0,9,2016,GarK,Normal,165750.0
4,WN,Ginnhei,Norm,Norm,60,1Fam,2Sto,2009,2010,6,5,EGWA,868.41,UR1,Ebn,San,Inn,17.7,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Du,Du,Gu,Ty,Ke,NAu,0.0,NAu,0.0,84.69,84.69,0.0,0.0,147.96,86.49,61.47,0.0,7,Typ,2,1,3,1,Du,1,Du,GasWO,Ag,J,SLSRo,41.4,3.78,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2009.0,GAu,2.0,41.4,Du,Du,J,Keine,0.0,5,2017,GarK,Normal,157250.0
5,WN,Eckenhe,Norm,Norm,70,1Fam,2Sto,1939,1960,8,7,EGWA,1029.15,UR1,Hng,Mit,Eck,20.684476534296028,Pfla,BetonGeg,Kein,0.0,ZiegMau,Stuck,Giebel,VerbSch,Du,Du,Gu,Ty,Ke,NAu,0.0,NAu,0.0,71.28,71.28,0.0,0.0,136.53,71.28,65.25,0.0,7,Typ,1,0,3,1,Gu,2,Gu,GasWO,Ar,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,1941.0,NAu,2.0,36.0,Du,Du,J,Keine,0.0,6,2016,GarK,Normal,195500.0
6,WN,Nordend,PosA,Norm,20,1Fam,1Sto,1980,1980,6,6,EGWA,1054.53,UR1,Ebn,San,Inn,20.684476534296028,Pfla,BetonSte,ZiegGla,51.39,Hartfas,Hartfas,Walm,VerbSch,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,0.0,129.78,129.78,0.0,0.0,129.78,129.78,0.0,0.0,6,Typ,2,0,2,1,Du,1,Du,GasWO,Du,J,SLSRo,33.39,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,1980.0,GAu,2.0,55.35,Du,Du,J,Keine,0.0,2,2019,GarK,Normal,157250.0
7,WN,Sachsen,Zubr,Norm,190,2FamU,1Sto,1981,2000,5,6,EGWA,758.25,Reg,Ebn,San,3St,21.0,Pfla,BetonSte,Kein,0.0,Hartfas,Hartfas,Giebel,VerbSch,Du,Du,Gu,Ty,Du,GWR,67.32,NAu,0.0,1.8,69.12,1.0,0.0,78.12,78.12,0.0,0.0,6,Typ,1,0,2,1,Du,0,KeineKamine,GasWO,Gu,J,SLSRo,12.42,0.0,0.0,0.0,0.0,0.0,KeinPool,GuPrv,Abgetr,1999.0,NAu,2.0,51.84,Du,Du,J,Keine,0.0,5,2017,GarK,Normal,101915.0
8,WN,Sachsen,EbOA,Norm,20,1Fam,1Sto,1983,2016,6,7,EGWA,1144.08,UR1,Ebn,San,SG,12.9,Pfla,BetonSte,Kein,0.0,Zement,Zement,Giebel,VerbSch,Du,Du,Gu,Ty,Mn,DWR,87.12,NAu,0.0,6.84,93.96,1.0,0.0,94.95,94.95,0.0,0.0,5,Typ,1,0,2,1,Gu,1,Du,GasWO,Du,J,SLSRo,40.95,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,1983.0,GAu,2.0,48.78,Du,Du,J,Keine,0.0,1,2017,GarK,Abnormal,124950.0
9,WM,Bornhei,Norm,Norm,50,1Fam,1.5V,1951,1960,6,6,EGWA,540.0,Reg,Ebn,San,Inn,18.0,Pfla,ZiegFli,Kein,0.0,Holz,Holz,Giebel,VerbSch,Du,Gu,Ty,Gu,Ke,DWR,33.75,NAu,0.0,32.4,66.15,0.0,1.0,109.62,78.21,31.41,0.0,6,Typ,1,0,3,1,Du,1,Gu,GasWO,Ag,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,2013.0,NAu,2.0,39.6,Du,Du,J,Keine,0.0,3,2017,GarK,Normal,111350.0
10,WM,Eisenba,Norm,Norm,50,1Fam,1.5V,1932,2017,4,8,EGWA,489.24,Reg,Ebn,San,Inn,12.0,Pfla,ZiegFli,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Du,Gu,Ty,Ty,Ke,UWR,66.15,NAu,0.0,5.49,71.64,1.0,0.0,103.86,71.64,32.22,0.0,7,Typ,1,0,3,1,Gu,0,KeineKamine,GasWO,Gu,J,SLSRo,0.0,8.64,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Abgetr,1932.0,NAu,1.0,21.6,Du,Du,N,Keine,0.0,5,2020,GarK,Normal,106675.0
